Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1890:11:16:0 -0.877027 -0.728796 0.0235206 -0.52439
1890:12:16:0 -0.558058 -0.486133 -0.0464081 -0.291787
1891:1:16:0 -0.333257 -0.256973 -0.175932 -0.116804
1891:2:16:0 -0.130677 -0.109805 -0.364139 0.106295
1891:3:16:0 -0.00223718 0.193051 -0.16634 -0.015593
1891:4:16:0 0.100556 0.457992 -0.291513 0.0173163
1891:5:16:0 0.159261 0.596348 -0.246601 -0.0156123
1891:6:16:0 0.124557 0.531755 -0.343648 0.0305033
1891:7:16:0 0.00902074 0.512724 -0.390658 -0.0520123
1891:8:16:0 0.0101259 0.175396 -0.49457 0.169713
1891:9:16:0 -0.0253628 -0.170289 -0.370875 0.245219
1891:10:16:0 0.0298989 -0.221989 -0.158431 0.220109
1891:11:16:0 0.0863613 -0.0961045 -0.112236 0.190532
1891:12:16:0 0.0195777 -0.01655 -0.103195 0.0794502
1892:1:16:0 -0.299871 -0.0836822 0.0272 -0.27163
1892:2:16:0 -0.224319 -0.246254 0.0803358 -0.141359
1892:3:16:0 -0.412455 -0.499938 0.0783701 -0.201671
1892:4:16:0 -0.56431 -0.591745 0.0705876 -0.303731
1892:5:16:0 -0.34364 -0.679436 0.117283 -0.0625633
1892:6:16:0 -0.352712 -0.703829 0.0690047 -0.0353006
1892:7:16:0 -0.454989 -0.713128 -0.146393 -0.0252288
1892:8:16:0 -0.541731 -0.923473 -0.0264388 -0.0667749
1892:9:16:0 -0.810616 -1.1081 0.113952 -0.313542
1892:10:16:0 -1.14803 -1.37544 -0.0633432 -0.428634
1892:11:16:0 -1.13224 -1.2099 0.0507389 -0.552657
1892:12:16:0 -0.6926 -1.16753 -0.117991 -0.0498397
1893:1:16:0 -0.485171 -1.23871 -0.0433177 0.155844
1893:2:16:0 -0.515351 -1.03557 -0.0710059 0.0379381
1893:3:16:0 -0.677215 -0.83501 0.190143 -0.354781
