"Station Name","REGINA GILMOUR"
"Province","SASKATCHEWAN"
"Latitude","50.57"
"Longitude","-104.83"
"Elevation","556.30"
"Climate Identifier","4016651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"NA","Data for this day has undergone only preliminary quality checking"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (degC)","Max Temp Flag","Min Temp (degC)","Min Temp Flag","Mean Temp (degC)","Mean Temp Flag","Heat Deg Days (degC)","Heat Deg Days Flag","Cool Deg Days (degC)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-06-27","2009","06","27","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-28","2009","06","28","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-29","2009","06","29","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-30","2009","06","30","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-01","2009","07","01","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-02","2009","07","02","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-03","2009","07","03","NA","","","","","","","","","","","2.0","","0.0","","2.0","","0","","","","",""
"2009-07-04","2009","07","04","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-05","2009","07","05","NA","","","","","","","","","","","1.2","","0.0","","1.2","","0","","","","",""
"2009-07-06","2009","07","06","NA","","","","","","","","","","","0.4","","0.0","","0.4","","0","","","","",""
"2009-07-07","2009","07","07","NA","","","","","","","","","","","2.6","","0.0","","2.6","","0","","","","",""
"2009-07-08","2009","07","08","NA","","","","","","","","","","","16.2","","0.0","","16.2","","0","","","","",""
"2009-07-09","2009","07","09","NA","","","","","","","","","","","1.6","","0.0","","1.6","","0","","","","",""
"2009-07-10","2009","07","10","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-11","2009","07","11","NA","","","","","","","","","","","0.8","","0.0","","0.8","","0","","","","",""
"2009-07-12","2009","07","12","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-13","2009","07","13","NA","","","","","","","","","","","4.2","","0.0","","4.2","","0","","","","",""
"2009-07-14","2009","07","14","NA","","","","","","","","","","","4.8","","0.0","","4.8","","0","","","","",""
"2009-07-15","2009","07","15","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-16","2009","07","16","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-17","2009","07","17","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-18","2009","07","18","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-19","2009","07","19","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-20","2009","07","20","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-21","2009","07","21","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-22","2009","07","22","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-23","2009","07","23","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-24","2009","07","24","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-25","2009","07","25","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-26","2009","07","26","NA","","","","","","","","","","","1.2","","0.0","","1.2","","0","","","","",""
"2009-07-27","2009","07","27","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-28","2009","07","28","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-07-29","2009","07","29","NA","","","","","","","","","","","0.1","","0.0","","0.1","","0","","","","",""
"2009-07-30","2009","07","30","NA","","","","","","","","","","","4.0","","0.0","","4.0","","0","","","","",""
"2009-07-31","2009","07","31","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-08-01","2009","08","01","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-08-02","2009","08","02","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-08-03","2009","08","03","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-08-04","2009","08","04","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
